,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,Workday,7 Day,Count
00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
05:00:00,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,13
06:00:00,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,1,1,0,1,1,0,3,1,1,1,2,0,0,1,2,1,1,22
07:00:00,0,0,0,0,0,3,0,0,0,1,2,0,1,0,1,4,1,0,3,0,0,3,7,1,0,2,0,1,1,1,1,1,32
08:00:00,0,2,5,2,4,0,0,2,2,1,9,3,1,1,6,3,2,0,4,1,0,2,7,2,3,1,0,0,1,2,3,2,66
09:00:00,0,0,1,5,3,0,0,2,4,2,12,5,5,0,4,6,3,3,7,3,0,5,7,5,4,7,0,1,1,8,4,3,103
10:00:00,0,3,3,6,1,0,1,3,5,3,10,3,1,0,4,7,3,2,8,1,1,2,10,6,4,3,0,0,4,3,4,3,97
11:00:00,0,1,1,3,2,0,3,5,8,3,9,7,3,1,4,5,2,3,5,0,0,4,12,2,6,3,0,0,4,0,4,3,96
12:00:00,0,5,1,1,5,0,0,3,6,4,10,6,0,0,5,3,1,3,8,0,1,5,11,0,7,3,1,1,2,5,4,3,97
13:00:00,0,4,0,3,3,1,0,6,5,1,9,9,1,0,2,2,4,2,5,0,0,5,10,1,2,0,0,0,2,4,4,3,81
14:00:00,0,1,1,3,2,1,0,2,4,2,2,5,0,0,3,3,2,0,10,0,0,4,12,0,3,1,0,0,0,6,3,2,67
15:00:00,0,1,2,3,2,0,0,1,3,2,2,1,0,0,1,3,4,4,8,1,0,3,11,1,5,2,0,0,4,2,3,2,66
16:00:00,0,0,2,1,1,0,0,3,0,1,0,12,0,0,4,3,3,1,3,0,0,2,12,0,2,0,0,0,4,0,2,2,54
17:00:00,0,1,2,2,1,0,1,0,1,0,1,10,0,1,3,1,2,1,0,0,1,2,6,1,0,3,0,0,5,2,2,2,47
18:00:00,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,1,0,2,0,0,0,0,9,2,0,0,0,0,11,0,2,1,33
19:00:00,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,1,1,1,22
20:00:00,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,10
21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
22:00:00,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1