,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:00:00,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,11
05:00:00,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8
06:00:00,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6
07:00:00,1,0,0,0,3,2,0,0,0,0,3,3,6,0,0,1,0,0,1,0,1,0,0,0,1,3,0,0,1,0,1,1,26
08:00:00,2,1,0,0,5,3,3,2,3,0,8,2,5,3,1,1,1,2,0,2,1,2,1,1,3,0,2,3,4,0,3,2,61
09:00:00,3,1,1,1,4,0,1,4,2,1,3,1,4,4,2,1,0,2,1,1,1,2,1,2,2,2,3,1,1,0,2,2,52
10:00:00,2,0,1,6,2,1,2,2,0,2,5,1,7,2,0,0,0,0,4,2,3,5,0,1,2,1,1,0,2,1,2,2,55
11:00:00,5,0,0,5,1,4,4,2,0,0,3,5,4,2,2,2,0,3,2,4,1,7,0,0,1,2,1,2,4,0,3,2,66
12:00:00,2,0,0,6,1,3,1,2,0,0,1,4,3,2,2,1,0,5,1,0,3,1,0,2,3,2,1,2,0,1,2,2,49
13:00:00,1,0,0,3,3,0,0,1,1,1,1,1,1,3,1,0,0,1,3,1,1,0,0,0,3,1,0,0,1,0,1,1,28
14:00:00,3,0,0,2,1,1,0,1,0,0,0,0,2,2,1,1,0,1,0,0,1,2,1,0,1,1,1,2,2,0,1,1,26
15:00:00,0,1,0,2,2,1,4,1,0,0,3,2,1,1,2,2,1,1,4,3,3,3,0,0,1,2,2,3,3,0,2,2,48
16:00:00,0,0,0,2,1,1,1,1,0,0,1,3,1,0,0,0,0,0,1,3,1,1,0,1,0,2,0,0,2,0,1,1,22
17:00:00,3,1,0,0,1,1,1,2,0,0,2,1,1,3,2,0,0,0,1,0,1,0,0,0,1,2,1,1,1,0,1,1,26
18:00:00,0,1,0,1,0,2,0,1,1,0,1,0,2,2,2,0,0,0,1,1,0,1,0,0,1,2,0,2,0,0,1,1,21
19:00:00,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7
20:00:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
21:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2